,nazwa,miasto,firma,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_nie_dla_epileptyków,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,bezpieczeństwo_przycisk_bezpieczeństwa,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy,min_liczba_graczy,max_liczba_graczy
369,Świątynia Majów,Nowy Sącz,The Locked Room,60,Przygodowy,początkujący,31 ,371,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,7.1,9.2,7.8,Średni,2,5
370,Chata Wiedźmy,Rzeszów,WydostanSie Escape Rooms,60,Fantasy,początkujący,44 ,372,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,5.7,9.0,5.9,Średni,2,6
371,Tajemnicza Dżungla,Wrocław,Dom Zagadek Exitus,45,Dla dzieci,początkujący,3 ,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,10.0,10.0,10.0,Łatwy,2,6
372,Amber Gold,Kraków,ExitRoom ™,60,Kryminalny,początkujący,15 ,374,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,6.8,9.0,6.4,Średni,2,5
373,James Bond,Kraków,ExitRoom ™,60,Kryminalny,doświadczony,26 ,375,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,5.7,8.1,4.9,Średni,2,5
374,Serce Roztocza,Zamość,Escape Room Zamość,80,Przygodowy,doświadczony,4 ,376,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,9.3,10.0,9.5,Średni,2,6
375,Polana,Warszawa,Dom Zagadek,60,Przygodowy,na pierwszy raz,26 ,377,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,7.1,8.7,7.9,Średni,2,6
376,Psychoterapia,Kraków,LOST BAR,70,Fabularny,początkujący,16 ,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.6,4.1,3.3,Średni,2,6
377,Militarny Kryzys,Zamość,Escape Room Zamość,80,Fabularny,śr. zaawansowani,4 ,379,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,7.1,7.3,8.3,Trudny,2,6
378,Projekt Z.E.U.S.,Bielsko-Biała,Konsorcjum Czasu,75,Przygodowy,śr. zaawansowani,6 ,380,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,8.8,10.0,10.0,Średni,1,6
