,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy
78,Licencja 00,Chorzów,LOFTescape,1-4 osoby,75 minut,Akcja,śr. zaawansowani,62 opinie,Polska: 80. miejsce,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,9.2,9.9,9.4,Trudny
79,Piekło Hazardzisty,Katowice,Quest Cage,2-5 osób,70 minut,Fabularny,eksperci,84 opinie,Polska: 81. miejsce,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,9.3,9.8,9.6,Trudny
80,Grota Mocy,Zabrze,Open The Lock,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,71 opinii,Polska: 82. miejsce,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,9.5,9.9,9.8,Średni
81,Turniej Magiczny,Kraków,Lock House,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,56 opinii,Polska: 83. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,8.9,9.7,9.3,Średni
82,Klątwa Skarbu Majów,Wrocław,Exit19.pl,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,133 opinie,Polska: 84. miejsce,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,9.1,9.7,9.7,Trudny
83,Krew wikingów,Tczew,Escape Room Tczew,2-6 osób,60 minut,Historyczny,doświadczony,23 opinie,Polska: 85. miejsce,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,9.5,10,9.7,Trudny
84,Duch Wulkanu - Człowieki w Kotle,Wrocław,Exit19.pl,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,76 opinii,Polska: 70. miejsce,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,9.1,9.6,9.8,Trudny
85,Biały Wilk,Szczecin,ESC Room,3-8 osób,90 minut,Fantasy,doświadczony,30 opinii,Polska: 87. miejsce,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,9.4,9.8,9.9,Trudny
86,Tożsamość Mordercy,Legnica,LockER,2-6 osób,90 minut,Kryminalny,śr. zaawansowani,8 opinii,Polska: 86. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,9.9,10,10,Średni
87,Murder House,Poznań,Continuum,1-4 osoby,60 minut,Horror,początkujący,251 opinii,Polska: 88. miejsce,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,9.4,9.8,9.7,Trudny
88,Faraon,Poznań,Escapelandia,2-5 osób,75 minut,Przygodowy,doświadczony,170 opinii,Polska: 89. miejsce,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,9.4,9.9,9.6,Trudny
89,Prolog,Łódź,Forest Escape,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,265 opinii,Polska: 90. miejsce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,9.5,9.6,9.9,Trudny
90,Nautilus: Podmorska Przygoda,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,409 opinii,Polska: 91. miejsce,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.3,9.9,9.9,Trudny
91,Skarbiec,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,198 opinii,Polska: 92. miejsce,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.5,10,9.6,Średni
92,Wiedźma II: Lochy,Radomsko,Zagadkowo,2-6 osób,75 minut,Horror,śr. zaawansowani,27 opinii,Polska: 93. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,9.8,10,9.9,Trudny
93,Grobowiec Tutanchamona,Grudziądz,Find The Key,2-5 osób,60 minut,Przygodowy,początkujący,10 opinii,Polska: 94. miejsce,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,9.7,9.9,9.8,Średni
94,Pogrzeb Arystokraty,Wrocław,Secret Room & Brain Code,2-6 osób,90 minut,Fabularny,początkujący,184 opinie,Polska: 95. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,9.3,10,9.7,Średni
95,Królowa Wampirów,Częstochowa,Dom Tajemnic,2-5 osób,60 minut,Thriller,śr. zaawansowani,19 opinii,Polska: 96. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,9.6,9.9,9.9,Trudny
96,Wrota Czasu - Egipt,Gliwice,TickTack,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,350 opinii,Polska: 97. miejsce,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,8.9,9.9,9.3,Trudny
97,wyZYSKpol,Bielsko-Biała,Konsorcjum Czasu,2-6 osób,90 minut,Przygodowy,śr. zaawansowani,48 opinii,Polska: 98. miejsce,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,9.4,9.9,9.6,Trudny
98,Plugawy HOTel,Kraków,Lock House,2-5 osób,60 minut,Thriller,śr. zaawansowani,133 opinie,Polska: 99. miejsce,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,9.5,10,9.8,Trudny
99,Klątwa zarazy,Tczew,Escape Room Tczew,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,6 opinii,Polska: 100. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,9.5,9.9,9.9,Średni
100,Nautilus: Podmorska przygoda,Warszawa,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,208 opinii,Polska: 101. miejsce,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,9.0,9.6,9.6,Trudny
101,Łódź Podwodna,Zakopane,LetMeOut,2-6 osób,75 minut,Przygodowy,doświadczony,37 opinii,Polska: 102. miejsce,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,9.2,9.7,9.4,Trudny
102,Osadzeni w Bunkrze,Warszawa,8 Gates Escape Room,2-6 osób,60 minut,Przygodowy,doświadczony,173 opinie,Polska: 104. miejsce,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,9.0,9.8,9.5,Trudny
103,Spisek Kardynała,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Historyczny,doświadczony,95 opinii,Polska: 105. miejsce,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.0,9.5,9.2,Trudny
104,Zew Przedwiecznych,Poznań,The Bunkier Escape Rooms,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,30 opinii,Polska: 103. miejsce,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,8.9,9.5,9.7,Trudny
105,Olimp,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Historyczny,śr. zaawansowani,115 opinii,Polska: 106. miejsce,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.0,9.6,9.3,Średni
106,Ale Cyrk!,Gdańsk,Escape Time,2-6 osób,75 minut,Abstrakcyjny,śr. zaawansowani,181 opinii,Polska: 108. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,9.2,9.8,9.4,Średni
107,Schron,Bielsko-Biała,Tajemnicza Piwnica - ER Group sp. z o. o.,2-4 osoby,70 minut,Abstrakcyjny,śr. zaawansowani,5 opinii,Polska: 107. miejsce,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,9.7,10,10,Średni
108,Krwawa Rzeźnia,Gdańsk,Questrooms,2-5 osób,60 minut,Horror,śr. zaawansowani,177 opinii,Polska: 109. miejsce,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,9.0,9.4,9.1,Trudny
109,Porwanie w szkole magii,Szczyrk,Chata Tajemnic,2-5 osób,60 minut,Fantasy,śr. zaawansowani,25 opinii,Polska: 111. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,9.0,9.9,9.6,Średni
110,Jumanji,Wrocław,HURRY UP,2-5 osób,60 minut,Przygodowy,doświadczony,362 opinie,Polska: 110. miejsce,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,9.4,9.8,9.6,Trudny
111,Dzicy Są,Wrocław,In&Out,2-4 osoby,70 minut,Przygodowy,śr. zaawansowani,60 opinii,Polska: 112. miejsce,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,9.0,9.8,9.7,Średni
112,Tajemnica Leśnej Chaty 2.0,Białystok,Unlocked - Escape Room,2-5 osób,90 minut,Thriller,eksperci,10 opinii,Polska: 113. miejsce,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,9.6,10,9.8,Trudny
113,Tajemnica świątyni Majów,Warszawa,Mysterious Room,2-5 osób,60 minut,Przygodowy,doświadczony,55 opinii,Polska: 114. miejsce,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,9.1,10,9.7,Trudny
114,Jaskinia Hazardu,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Kryminalny,śr. zaawansowani,131 opinii,Polska: 115. miejsce,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,9.1,9.9,9.3,Trudny
115,Underworld,Wrocław,Secret Room & Brain Code,3-6 osób,120 minut,Przygodowy,śr. zaawansowani,100 opinii,Polska: 116. miejsce,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,8.9,9.6,9.2,Trudny
116,Tajemniczy las,Poznań,Escapelandia,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,306 opinii,Polska: 117. miejsce,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,9.0,9.7,9.3,Średni
117,Łowcy snów,Bielsko-Biała,HURRY UP,2-5 osób,60 minut,Abstrakcyjny,śr. zaawansowani,104 opinie,Polska: 119. miejsce,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,9.1,9.4,9.2,Trudny
118,Zbrodnia na płótnie,Warszawa,Black Cat Escape Room,2-7 osób,60 minut,Fabularny,śr. zaawansowani,387 opinii,Polska: 118. miejsce,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,8.8,9.8,9.4,Trudny
119,Chata górala,Szczyrk,Chata Tajemnic,2-5 osób,60 minut,Thriller,śr. zaawansowani,16 opinii,Polska: 120. miejsce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,8.9,9.9,9.5,Trudny
120,Komnata Wiedźmy,Zakopane,LetMeOut,2-6 osób,75 minut,Fantasy,śr. zaawansowani,32 opinie,Polska: 121. miejsce,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,9.1,9.4,9.5,Trudny
121,Piracka Tawerna,Bydgoszcz,Wyjście Awaryjne,1-3 osoby,50 minut,Przygodowy,śr. zaawansowani,11 opinii,Polska: 122. miejsce,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,9.4,9.6,9.9,Trudny
122,Statek kosmiczny 2.0,Kraków,Secreto,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,57 opinii,Polska: 123. miejsce,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,9.0,9.7,9.5,Średni
123,Upiorny Teatrzyk Lalek,Katowice,Next Room Katowice,2-6 osób,65 minut,Thriller,śr. zaawansowani,34 opinie,Polska: 125. miejsce,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,9.4,9.8,9.7,Średni
124,Bydgoska Gra Miejska,Bydgoszcz,Wyjście Awaryjne,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,18 opinii,Polska: 124. miejsce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9.3,9.8,9.8,Łatwy
125,Sekret Umysłu,Łódź,Alfa Fun,2-5 osób,75 minut,Thriller,śr. zaawansowani,19 opinii,Polska: 127. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,9.2,10,9.6,Średni
126,Klątwa starej wiedźmy,Bydgoszcz,Park17 Sp. z o.o.,2-4 osoby,60 minut,Przygodowy,początkujący,48 opinii,Polska: 126. miejsce,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,9.0,9.8,9.6,Łatwy
127,Szlak Nieumarłych,Gliwice,Open The Lock,2-6 osób,80 minut,Thriller,doświadczony,38 opinii,Polska: 128. miejsce,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,9.1,9.5,9.5,Trudny
128,PRL 2- Dekonspiracja Gieńka,Toruń,Dom Kłódek,2-6 osób,60 minut,Fabularny,doświadczony,29 opinii,Polska: 129. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,9.1,9.7,9.4,Trudny
129,Zdrada w Breslau,Wrocław,Exit19.pl,2-7 osób,75 minut,Kryminalny,doświadczony,496 opinii,Polska: 130. miejsce,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,8.9,9.7,9.6,Trudny
130,Escape DaVinci,Kraków,WydostanSie Escape Rooms,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,283 opinie,Polska: 131. miejsce,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,9.2,9.8,9.8,Średni
131,Postapo,Łódź,Forest Escape,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,110 opinii,Polska: 132. miejsce,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,9.5,9.7,9.7,Trudny
132,Świątynia Zagłady,Gliwice,Open The Lock,2-6 osób,80 minut,Fabularny,doświadczony,72 opinie,Polska: 133. miejsce,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,8.9,9.2,9.3,Trudny
133,Nieoczekiwana zmiana trasy,Warszawa,Escape Service,2-15 osób,60 minut,Przygodowy,śr. zaawansowani,11 opinii,Polska: 134. miejsce,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,9.6,10,10,Trudny
134,Ucieczka z więzienia,Gdańsk,Questrooms,5-8 osób,60 minut,Kryminalny,doświadczony,310 opinii,Polska: 135. miejsce,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,9.4,9.6,9.7,Trudny
135,Czarnobyl – ostatnia godzina,Sopot,Questrooms,2-5 osób,60 minut,Historyczny,początkujący,164 opinie,Polska: 136. miejsce,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,8.9,9.8,9,Średni
136,El Profesor: Napad Prawie Doskonały,Zakopane,LetMeOut,2-6 osób,90 minut,Kryminalny,śr. zaawansowani,10 opinii,Polska: 137. miejsce,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,9.4,9.5,9.5,Trudny
137,Komnata Czarnego Pana,Olsztyn,iESCAPE Olsztyn,2-5 osób,60 minut,Fantasy,początkujący,163 opinie,Polska: 138. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,9.8,9.6,9.8,Średni
138,Wioska Smerfów,Wrocław,HURRY UP,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,164 opinie,Polska: 139. miejsce,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,9.0,9.9,9.7,Średni
139,Klątwa Majów,Lublin,LetMeOut,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,7 opinii,Polska: 140. miejsce,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,9.2,9.7,9.7,Średni
140,W Krainie Czarów,Bydgoszcz,Park17 Sp. z o.o.,2-4 osoby,60 minut,Przygodowy,początkujący,27 opinii,Polska: 141. miejsce,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,9.1,9.7,9.5,Łatwy
141,Sekret Burmistrza,Katowice,Quest Cage Centrum,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,35 opinii,Polska: 142. miejsce,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,9.0,9.9,9.5,Średni
142,Pętla czasu,Toruń,Dom Kłódek,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,19 opinii,Polska: 143. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,8.9,9.9,9.4,Średni
143,El Cartel,Łódź,QUITZONE,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,29 opinii,Polska: 144. miejsce,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,9.2,9.9,9.8,Trudny
144,Koszmarna Willa - Tylko umarli nie kłamią,Toruń,OPEN THE DOOR,2-6 osób,60 minut,Thriller,doświadczony,15 opinii,Polska: 145. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,9.0,9.8,8.9,Średni
145,Wampir,Poznań,EXODUS,2-6 osób,60 minut,Horror,śr. zaawansowani,1 064 opinie,Polska: 146. miejsce,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,9.5,9.8,9.8,Trudny
146,Tajemnica Alchemika,Kraków,Combinator Kraków,2-5 osób,60 minut,Historyczny,śr. zaawansowani,135 opinii,Polska: 147. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,8.7,8.8,9.7,Średni
147,5 Morderstw,Gdańsk,Questrooms,2-2 osoby,60 minut,Kryminalny,śr. zaawansowani,242 opinie,Polska: 148. miejsce,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,9.1,9.9,9.2,Średni
148,Chata Wiedźmy,Warszawa,Escape Room Majdańska 18 Warszawa,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,365 opinii,Polska: 150. miejsce,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,8.9,9.5,9.6,Trudny
149,Szaman,Poznań,EXODUS,1-6 osób,60 minut,Przygodowy,śr. zaawansowani,32 opinie,Polska: 149. miejsce,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,8.6,9.7,9.1,Średni
150,Wybudzenie,Szczyrk,Chata Tajemnic,1-2 osoby,60 minut,Fabularny,doświadczony,10 opinii,Polska: 151. miejsce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8,10,9.4,Trudny
151,Pokój hotelowy - miejsce zabójstwa,Warszawa,Escape Room Majdańska 18 Warszawa,2-4 osoby,75 minut,Kryminalny,doświadczony,142 opinie,Polska: 152. miejsce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,9.2,9.8,9.3,Trudny
152,Sex Room,Warszawa,Black Cat Escape Room,2-10 osób,60 minut,Fabularny,początkujący,1 156 opinii,Polska: 153. miejsce,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,8.8,9.9,9.5,Średni
153,Rozdział I: Szepty,Łódź,Forest Escape,2-6 osób,120 minut,Thriller,śr. zaawansowani,29 opinii,Polska: 154. miejsce,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,9.6,9.8,9.9,Trudny
154,Se7en,Szczecin,ESC Room,2-6 osób,60 minut,Thriller,doświadczony,160 opinii,Polska: 156. miejsce,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,9.6,9.9,9.9,Trudny
155,Skarbówka - Tajemnicza Zbrodnia,Wrocław,Exit19.pl,2-7 osób,70 minut,Fabularny,śr. zaawansowani,137 opinii,Polska: 155. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,9.2,9.8,9.6,Trudny
156,Zdążyć przed patologiem,Sopot,Questrooms,2-5 osób,60 minut,Kryminalny,doświadczony,89 opinii,Polska: 158. miejsce,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,9.0,9.7,9.3,Trudny
157,Prosektorium,Wrocław,Secret Room & Brain Code,2-6 osób,90 minut,Horror,początkujący,261 opinii,Polska: 157. miejsce,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,9.1,9.7,9.5,Średni
158,Morderstwo w Orient Expressie,Chorzów,LOFTescape,2-5 osób,60 minut,Kryminalny,początkujący,272 opinie,Polska: 159. miejsce,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,8.9,9.8,9.6,Średni
159,Sacramentum,Bydgoszcz,Fabryka Czasu,2-5 osób,75 minut,Horror,doświadczony,20 opinii,Polska: 160. miejsce,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8.8,8.6,9.3,Trudny
